timestamp,server_id,cpu_pct,ram_pct,disk_io_mbps,net_mbps,temp_celsius,disk_used_pct,is_anomaly,anomaly_type
2014-02-26 13:45:00,server-01,0.07,5.04,6.86,3.5,30.18,43.84,True,thermal_event
2014-02-26 13:50:00,server-01,0.13,5.0,11.69,19.12,30.68,46.87,True,thermal_event
2014-02-26 13:55:00,server-01,0.13,5.0,2.23,3.4,27.15,41.26,True,thermal_event
2014-02-26 14:00:00,server-01,0.13,8.85,6.78,1.96,31.24,47.67,True,thermal_event
2014-02-26 14:05:00,server-01,0.13,5.0,5.02,14.62,32.17,44.45,True,thermal_event
2014-02-26 14:10:00,server-01,0.07,5.0,22.14,5.63,27.28,67.19,True,thermal_event
2014-02-26 14:15:00,server-01,0.13,5.0,5.0,2.78,27.35,48.87,True,thermal_event
2014-02-26 14:20:00,server-01,0.13,6.61,6.53,13.96,29.13,67.76,True,thermal_event
2014-02-26 14:25:00,server-01,0.2,5.0,7.31,16.74,29.24,71.61,True,thermal_event
2014-02-26 14:30:00,server-01,0.13,5.0,4.21,11.21,27.49,40.8,True,thermal_event
2014-02-26 14:35:00,server-01,0.13,5.0,5.72,12.37,32.37,64.0,True,thermal_event
2014-02-26 14:40:00,server-01,0.07,5.0,19.07,9.92,30.68,70.12,True,thermal_event
2014-02-26 14:45:00,server-01,0.2,5.0,5.66,15.23,27.82,67.48,True,thermal_event
2014-02-26 14:50:00,server-01,0.07,5.0,8.06,17.0,31.96,42.34,True,thermal_event
2014-02-26 14:55:00,server-01,0.2,5.0,10.9,4.08,31.91,47.11,True,thermal_event
2014-02-26 15:00:00,server-01,0.13,5.0,4.73,10.25,29.27,59.5,True,thermal_event
2014-02-26 15:05:00,server-01,0.07,6.89,10.48,16.98,32.48,56.12,True,thermal_event
2014-02-26 15:10:00,server-01,0.14,5.0,19.32,17.93,31.27,72.55,True,thermal_event
2014-02-26 15:15:00,server-01,0.13,5.0,3.93,10.73,29.24,50.61,True,thermal_event
2014-02-26 15:20:00,server-01,0.13,5.0,8.6,15.5,31.0,55.43,True,thermal_event
2014-02-26 15:25:00,server-01,0.13,5.0,11.92,19.61,30.69,46.6,True,thermal_event
2014-02-26 15:30:00,server-01,0.13,5.0,7.17,8.92,30.95,53.19,True,thermal_event
2014-02-26 15:35:00,server-01,0.13,5.0,12.43,3.46,27.88,70.87,True,thermal_event
2014-02-26 15:40:00,server-01,0.13,5.0,4.7,6.61,28.37,54.38,True,thermal_event
2014-02-26 15:45:00,server-01,0.07,5.0,5.16,16.75,30.96,64.34,True,thermal_event
2014-02-26 15:50:00,server-01,0.13,5.0,8.13,3.87,32.17,62.27,True,thermal_event
2014-02-26 15:55:00,server-01,0.2,5.0,23.96,11.14,33.02,73.26,True,thermal_event
2014-02-26 16:00:00,server-01,0.13,8.72,16.21,15.06,27.95,48.4,True,thermal_event
2014-02-26 16:05:00,server-01,0.13,5.0,9.16,16.59,30.67,63.89,True,thermal_event
2014-02-26 16:10:00,server-01,0.07,5.0,8.06,4.82,28.47,44.69,True,thermal_event
2014-02-26 16:15:00,server-01,0.13,9.06,24.21,19.8,32.91,46.53,True,thermal_event
2014-02-26 16:20:00,server-01,0.13,5.0,10.41,2.09,28.42,49.13,True,thermal_event
2014-02-26 16:25:00,server-01,0.13,6.29,6.65,16.49,28.51,42.75,True,thermal_event
